,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
121,12/5/22 02:21,,,,Oval,30 minutes,"Bright, fast moving lights",12/22/22,
122,12/4/22 22:51,Rome,Lazio,Italy,Circle,At least 10 minutes,"It was floating and then suddenly stopped, then it started to float again. It wasn’t an airplane",12/22/22,Yes
123,12/4/22 19:22,Addis Ababa,Addis Ababa,Ethiopia,Cylinder,idk what that means sorry,it was on an apartment while fixing tv dishes with my friend,12/22/22,
124,12/4/22 12:47,Neshaminy,PA,USA,Triangle,,Triangular shaped flat flying object,12/22/22,Yes
125,12/4/22 12:25,Conshohocken,,,Triangle,2 min,Black triangle appeared to glide over homes until was no longer in view,12/22/22,
126,12/4/22 11:24,Detroit,MI,USA,Rectangle,,Huge invisible object flew our home. Had a shadow on ground,12/22/22,Yes
127,12/4/22 08:54,Wilmington,DE,USA,Changing,3 min,I opened a portal in my kitchen,12/22/22,
128,12/4/22 04:00,Tulare,CA,USA,Disk,35 sec,I was terrified but shocked at same time,12/22/22,
129,12/4/22 01:04,Carol stream,IL,USA,Changing,16 minutes,I have video and a witness to this signing,12/22/22,
130,12/3/22 22:00,West Monroe,LA,USA,Egg,,they’ve been here for a year now,12/22/22,Yes
131,12/3/22 21:50,Cape San Blas,FL,USA,Circle,26 sec,I was panning the night sky and recording the beach waves sound. I sent sent the video to a friend.I originally did not see the lights,12/22/22,
132,12/3/22 20:26,Sandy Hook,CT,USA,Light,3 seconds,1,12/22/22,
133,12/3/22 02:00,Novato,CA,USA,Oval,About 45 seconds,My friends and I were driving home from Santa Cruz. I was in the backseat and looked west to see a very large object in the sky.,12/22/22,
134,12/3/22 00:05,Kaukauna Wi 54130,WI,USA,Oval,5 Minutes,A huge fastball of light that looked like a tik tak,12/22/22,
135,12/2/22 22:34,Melbourne,FL,USA,Light,Seconds,A ball or asterisk of light appears,12/22/22,
136,12/2/22 22:31,Portland,OR,USA,Light,Ongoing,Observed a circling light in the clouds,12/22/22,
137,12/2/22 22:18,Georgetown,TX,USA,Circle,Only a few seconds,The video was recorded facing parallel to the highway,12/22/22,
138,12/2/22 22:11,Irvine,CA,USA,Light,10-20 minutes,"UFO shows off, maneuvering up, down, left, and right, in plain sight, as masses remain distracted unable to even look up",12/22/22,
139,12/2/22 20:20,Shreveport,LA,USA,Disk,5 mins of hovering,"I was coming over the over pass heading west , ass I look to the northwest ride over a tree line I see 3 light the middle the brightest",12/22/22,Yes
140,12/2/22 20:00,Brighton,MI,USA,Unknown,First spotted 5 minutes,There were 4 lights like circles in the sky shaped similarly to a square going in a circle and then coming together and expanding,12/22/22,
141,12/2/22 19:35,Brighton,MI,USA,Unknown,,Lights in the sky above the clouds doing patterned flying,12/22/22,
