,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
208,8/19/22 21:46,Bridgton,ME,USA,Light,1 minute,Linear bright structure,10/8/22,Yes
209,8/19/22 21:46,Davison,MI,USA,Cigar,20 seconds,"Looked up and saw a worm shaped slow moving object in the sky, it shortly vanished into thin air.",10/8/22,
210,8/19/22 21:46,Black butte,OR,USA,Light,1-2 minutes,This doesn’t look like the Starlink videos as it just disappeared well within the horizon.,10/8/22,
211,8/19/22 21:46,Tigard,OR,USA,Cigar,3 seconds,Train looking shape in sky for 3 seconds and disappeared,10/8/22,Yes
212,8/19/22 21:45,Red Creek,NY,USA,Light,3 minutes,Straight line with dotted lights that changed length slowly. Came about a mile from us then faded out over Lake Ontario.,9/9/22,
213,8/19/22 21:45,Thornton,NH,USA,Formation,50-60 seconds,We saw a string of lights moving through the sky silently and then faded into nothing.,10/8/22,
214,8/19/22 21:45,Indian Lake,NY,USA,Cigar,15 seconds,"Sitting out in front of campfire facing west with lake in front , saw bright straight line moving slowly in uniform towards the east",10/8/22,Yes
215,8/19/22 21:45,Gray,ME,USA,Light,15 minutes,Long thick white brute lite . Have picture of it and only resemblance of starling is the line but this line much thicker,9/9/22,Yes
216,8/19/22 21:45,Monhegan Island,NH,USA,Cylinder,25 seconds,Appeared below the Big Dipper and continued up towards it for about 25 seconds before vanishing.,9/9/22,Yes
217,8/19/22 21:45,Searsmont,ME,USA,Other,2 minutes,Linear white light,10/8/22,
218,8/19/22 21:45,Montreal,Quebec,Canada,Other,30 seconds,Saw two rows of light near each other flying at a approx 45 degree angle into the clouds,9/9/22,Yes
219,8/19/22 21:45,Bennington,VT,USA,Other,fifteen sec. approx,"Long string of bright lights in straight formation with border around them approx 200 feet in length, no sound or FAA strobes .",10/8/22,
220,8/19/22 21:45,Spafford Lake,NH,USA,Cigar,3 minutes,The cigar was on an angle moving towards us it had a flash of light and at the end it just disappeared,9/9/22,
221,8/19/22 21:45,Richmond,Quebec,Canada,Changing,20 Seconds,We saw 2 dots in the sky that appeared to be stars but were fading into each other but only captured on camera the straight line,10/8/22,
222,8/19/22 21:45,Topsham,ME,USA,Cigar,+/- 30 seconds,Thin Vertical Cylinder,10/8/22,
223,8/19/22 21:44,Wolfeboro,NH,USA,Changing,2-5min,"Appearing over the tree line in the mountains, long thin white light appearing to change shape",10/8/22,Yes
224,8/19/22 21:43,Ajax,ON,Canada,Cylinder,40 seconds,"I looked up and noticed a cylinder/submarine with not lights surrounding it, it had a light glow around it that was noticeable to see",10/8/22,
225,8/19/22 21:41,Carey,,USA,Light,2 Minutes,13 Weird lights in the sky,9/9/22,Yes
226,8/19/22 21:40,Salem,NY,USA,Disk,20 minutes,Saw spaceship lift off ground then jets were scrambled towards it.,9/9/22,Yes
227,8/19/22 21:40,Berlin,NH,USA,Other,5 minutes,Lights moving toward us,9/9/22,Yes
228,8/19/22 21:38,Dexter,ME,USA,Cigar,2 Minutes,"Lights appeared in the NE, slowly moving towards SW, after pulling over my car to see better, they vanished.",9/9/22,
229,8/19/22 21:37,Ferrisburg,VT,USA,Other,5 minutes,Straight line of 12-15 lights traveling east away from Lake Champlain.,9/9/22,
230,8/19/22 21:16,Townsend,MT,USA,Rectangle,40 seconds,A single bright rectangular light descending from the sky,9/9/22,
231,8/19/22 21:15,NNW of Lake George Village,NY,USA,Disk,About 30 Mins,Red and white light disk shaped,9/9/22,
