,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
201,7/21/22 00:15,Oceanside,CA,USA,Chevron,20 seconds,Dark Blue Darting Chevron shape,9/9/22,Yes
202,7/20/22 23:15,Lakewood,WA,USA,Sphere,10 sec,Sphere followed/escorted by helicopter,9/9/22,Yes
203,7/20/22 16:50,Anchorage,AK,USA,Cylinder,It’s save in my computer,"We was looking out our window taking picture of the clouds because of the colors. Then this huge ufo appeared, You can see a wormhole",12/22/22,Yes
204,7/20/22 11:00,Vero beach,FL,USA,Disk,2 minutes,"Stationary disk sat for 2 minutes, then flew off at enormous speed",9/9/22,
205,7/20/22 04:23,Not sure,NE,USA,Light,Not sure 39 mins or more,My uncle sent me video footage from his phone from the truck stop he was at as well as a picture from his phone,9/9/22,Yes
206,7/19/22 23:38,Albuquerque,NM,USA,Light,1:20,Flashing Light in the Clouds,9/9/22,
207,7/19/22 22:45,Everett,WA,USA,Light,Lasted around 10 to 15 mi,Super bright&fast moving orange lights,9/9/22,
208,7/19/22 22:20,Melbourne,AR,USA,Light,About 7 minutes,Two orange lights slowly pulsing in the distance.,9/9/22,
209,7/19/22 21:30,Cosby,MO,USA,Light,7 minutes,Three orbs of light sighted for seven minutes before each light disappeared one by one.,9/9/22,
210,7/19/22 19:39,Cedarhurst,NY,USA,Unknown,fast but got a photo,Something flew fast and I took a picture and caught it.,9/9/22,Yes
211,7/19/22 16:57,Port St. Lucie,FL,USA,Diamond,1 hour,"Three semi-metallic, diamond shaped craft.",9/9/22,Yes
212,7/19/22 12:27,Short Pump,VA,USA,,20 seconds,"Saw a strange cloud in the sky. Twisting upward like an upside down tornado. That's what caught my eye, so I took a few pictures of it.",9/9/22,Yes
213,7/19/22 10:18,Fort Collins,CO,USA,Triangle,5 seconds,"Very large scale, fast moving, dim lights in triangle shape flew over from East to West.",9/9/22,
214,7/19/22 02:27,Los Angeles,CA,USA,Unknown,2-6 minutes,My friend saw something near the moon and I thought she was lying until I actually looked up.,9/9/22,Yes
215,7/19/22 00:54,Emmett,ID,USA,Unknown,10 seconds,Green light turned red headed up hill,9/9/22,
216,7/19/22 00:12,Near atlanta,GA,USA,Fireball,Few minutes,Traveling in plane,9/9/22,
217,7/19/22 00:00,Stafford,Staffordshire,United Kingdom,Sphere,1 minute,Spherical light descending from a high altitude.,9/9/22,
218,7/18/22 23:51,,Carmarthenshire,United Kingdom,Light,Few minutes.,Bright orb flying towards the east.,9/9/22,
219,7/18/22 23:01,Chapel Hill,NC,USA,Unknown,At least 5 minutes,"Saw hovering solid red and green light, which quickly moved a long distance then back, then hovered again.",9/9/22,
220,7/18/22 23:00,Auburn Hills,MI,USA,Star,25 seconds,Undercover Satellite,9/9/22,
221,7/18/22 22:44,Philadelphia,,,Disk,Flew for a split second,Flew fasted glowing from behind FMC buikding,9/9/22,
222,7/18/22 19:00,Gold coast,Queensland,Australia,Disk,1 Minute,A ship with purple trail is seen in the sky,9/9/22,
223,7/18/22 06:10,Canberra,Australian Capital Territory,Australia,Cigar,40seconds,Long thin object viewed travelling slowly through sky,9/9/22,
224,7/18/22 05:20,Chester,VT,USA,Cigar,1 minute approximately,I saw a large silver/white glowing object moving across the horizon,9/9/22,
225,7/18/22 02:37,Bass River Township,NJ,USA,Unknown,15 minutes,"I was indoors so did not see a craft this time, just an ""entity"" that may be related to my other recent sightings of spherical craft.",9/9/22,
226,7/18/22 00:10,Greeley,CO,USA,Circle,25 minutes,Light 1/3 size of the moon distintly round but hazy when all the stars were sharp and crisp.,9/9/22,
227,7/17/22 23:20,Kennesaw,GA,USA,Unknown,A couple hours,Saw something standing there it was small and brown and disappeared as I jumped.,9/9/22,
228,7/17/22 22:00,Clayton,NC,USA,Rectangle,1 minute,"Object sighted in sky relatively low, appeared to be a white bright translucent light moving from left to right",9/9/22,Yes
229,7/17/22 21:48,Oak Forest,IL,USA,Chevron,8 minutes,"Silent, orange and red non blinking lit up craft. Moving south. Never seen anything like it.",9/9/22,
230,7/17/22 21:25,Unknown,IA,USA,Other,Captured in photo,Didn't realize what I captured until looking at photos,9/9/22,Yes
231,7/17/22 02:14,milton,VT,USA,Diamond,1-2 minutes +,"No noise, it was like one big lit up Diamond (like a star- no random lights), dogs were howling, this ufo chased me, dread feeling",9/9/22,
232,7/17/22 00:55,chaska,MN,USA,Circle,10mins+,Stationary lights in the clouds,9/9/22,Yes
233,7/16/22 23:27,Kuna,ID,USA,Triangle,2-3 minutes,Saw a slow moving large object that was silent.,9/9/22,
234,7/16/22 23:00,Athens,GA,USA,Chevron,Several hours every night,Chevron shaped and V shaped more than 1 and different sizes,9/9/22,Yes
235,7/16/22 22:30,Spartanburg,SC,USA,Diamond,Approximately 20 minutes,"Clusters of lights in the shapes of triangles, moving through neighborhood. Seen by many folks in neighborhood.",9/9/22,
236,7/16/22 18:49,Rugby,,United Kingdom,Oval,5 minutes,"Light oval/tictac shape metallic looking. High up, hovering and doing strange movements. I have a video",9/9/22,
237,7/16/22 16:51,Matawan,NJ,USA,Unknown,30 seconds - minute,At 4:51 pm I saw 3 black objects moving from south to north,9/9/22,Yes
238,7/16/22 12:57,Laramie,WY,USA,Sphere,Sense sunset the 15th,Saw a bright object at sunset above clouds that looked balloon shaped with binoculars.,9/9/22,Yes
