,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
182,10/21/22 19:30,Parker,null,USA,Other,5-10 seconds,I was just sanding outside having a smoke looking up at the sky and I saw something weird. It looked like the sky was being magnified,12/22/22,
183,10/21/22 13:12,Taos,NM,USA,Egg,10 - 15 min,Objects appears to just pop in sight. They move slowly eastward and seem to tilt so that the sun reflects back and forth.,12/22/22,Yes
184,10/21/22 06:19,Dennis,MA,USA,Light,2 minutes,"Silent, unblinking white light moving slowly ENE at a time when no air or satellite traffic in area.",12/22/22,
185,10/21/22 06:00,Little Rock,AR,USA,Star,at least 30 minutes,white star shaped dot moving back and forth,12/22/22,
186,10/21/22 02:50,Kansas City,MO,USA,Formation,5 min,3 lights in formation,12/22/22,
187,10/21/22 02:30,New Port Richey,FL,USA,Disk,45 mins,Disk shape flashing colors hovering and bouncing around,12/22/22,
188,10/20/22 23:30,North Miami,FL,USA,Circle,A few minutes,"A red glowing circle was blinking and flashing, then moved to the left quickly, then diagonally back to the right, then down and disapp",12/22/22,
189,10/20/22 23:00,Colorado Springs,CO,USA,Circle,For about 12 minutes,6 plus circle objects,12/22/22,
190,10/20/22 22:30,Ridgeland,SC,USA,Light,30 minutes,Military helicopter following a light,12/22/22,
191,10/20/22 22:04,Sydney mines,NS,Canada,Triangle,20 mins each object,All shapes and sizes of craft,12/22/22,
192,10/20/22 21:55,,MI,USA,Changing,Approximately 2-3 seconds,Never have seen anything move so quickly.,12/22/22,
193,10/20/22 21:12,Lavon,TX,USA,Light,2-3 seconds,Light white flaring light zipped in an arc under a helicopter,12/22/22,
194,10/20/22 20:40,San Jose,CA,USA,Fireball,45 seconds,I was driving in the hway and out of the Blue in the sky. There was a small fireball and it gets bigger. We saw it about 1 min,12/22/22,
195,10/20/22 20:22,Jacksonville,FL,USA,Cigar,5 minutes,"Cigar shaped craft no sound, bright, nothing carrying it, began to move when I started filming and faded out into thin air",12/22/22,Yes
196,10/20/22 20:04,Washington Court House,OH,USA,Circle,Seconds,Bright orange lights triangle shape,12/22/22,
197,10/20/22 19:45,Marion,NC,USA,Fireball,5 to 7 minutes,2 objects that looked like fire ball or very strong light moving west to east,12/22/22,
198,10/20/22 19:30,jackson,AL,USA,Cigar,1 minute,cigar shaped large craft with twinkling lights moving slowly and making no sound,12/22/22,
199,10/20/22 19:23,Katy,TX,USA,Other,2 minutes,A 3D CD object,12/22/22,Yes
200,10/20/22 19:22,Mandeville,LA,USA,Rectangle,8 minutes,Formation of lights moving slowly,12/22/22,Yes
201,10/20/22 19:20,-,NM,USA,Triangle,5 sec,Two light at each end that made up a triangle. A shooting light. A light moving away from me.,12/22/22,Yes
202,10/20/22 16:00,Falling Waters,WV,USA,Cylinder,15 seconds,"Unknown object, like skinny blimp or tube",12/22/22,
203,10/20/22 14:00,Spring Valley,CA,USA,Light,,Some flashing/pulsing lights in the midday sky that kind of milled around,12/22/22,
204,10/20/22 13:26,Reno,NV,USA,Circle,Approximately 2 hours,"Small bright lights appear in the sky, move around, and disappear",12/22/22,Yes
205,10/20/22 13:25,Booneville,MS,USA,Cigar,15 mins,"Brightest silver cigar shape, covered & moved slowly, no blinking lights.",12/22/22,Yes
206,10/20/22 10:04,Sacramento,CA,USA,Triangle,less than a minute,UFO Hovering over apartment complexes in the area t,12/22/22,
207,10/20/22 08:04,Garden City,ID,,Oval,40 sec,Oval white shape following a passenger plane heading east,12/22/22,
208,10/20/22 06:20,Archbald,PA,USA,Circle,30 minutes,We were driving to Dunmore and I noticed it getting in our car it was in the western sky pulsing red green white light,12/22/22,
209,10/20/22 06:00,Georgetown,TX,USA,Light,3 minutes,Bright light with no normal signaling lights or anything moved across the sky. Second sighting,12/22/22,
210,10/20/22 05:25,Schurz,NV,USA,Oval,Around three minutes,"Light opens in sky, rotates, then something shoots out to the mountain",12/22/22,
211,10/20/22 04:30,Oxford,MI,USA,Circle,5 min,A round object spinning & moving very fast,12/22/22,
212,10/20/22 04:30,Star,ID,USA,Triangle,1min,1 aircraft NE to SW. No sound. Approx 1k AGL.,12/22/22,
213,10/20/22 03:46,La Jolla,,USA,Light,3-5 seconds,"Seen headed back north on Torey Pines Road to campus, glowing light/beaming light, at 3:46AM",12/22/22,Yes
214,10/20/22 02:12,Toledo,OH,USA,Light,10 min,This is our second time seeing this bright light,12/22/22,Yes
215,10/20/22 01:43,Amherst,OH,USA,Circle,1-2 seconds max,"We were driving and infront of us a very large blue circle craft thing, flew and disappeared infront us within 1-2 secs it was gone",12/22/22,
216,10/20/22 01:00,denver,CO,USA,Oval,all night,ongoing nightly star like objects but much brighter & more intense flickering,12/22/22,
217,10/19/22 22:35,Littleton,,USA,Diamond,5-7 seconds,3 diamond shaped black objects dimly lit slowly moving across Wadsworth Blvd,12/22/22,
218,10/19/22 21:35,Bartlesville,OK,USA,Circle,happened really fast,"circle, chrome metallic look, thruster and fire trail.",12/22/22,
219,10/19/22 21:00,Phoenix,AZ,USA,Light,2 hours at least,"I saw a bright star relatively high in the sky. I noted that it was moving erratically. It moved left, right, up, down, forward, back",12/22/22,
220,10/19/22 21:00,Palm desert,CA,USA,Other,10 minutes,"Right place, right time",12/22/22,
221,10/19/22 20:00,Centerburg,OH,USA,Circle,39 seconds,Glowingly ball of light Chang shape instantly disappearing,12/22/22,
222,10/19/22 20:00,Cana,VA,USA,Changing,Changing shape still ther,Rather not say please contact me,12/22/22,
223,10/19/22 20:00,Cottonwood,AZ,USA,Light,30 seconds,Drove directly under there lights in triangle formation.,12/22/22,
224,10/19/22 19:21,Whittier,CA,USA,Light,,3 bright flashes like lightning,12/22/22,
225,10/19/22 19:17,Franklin,TN,USA,Other,6-7 minutes,This craft seemed to stay floating in one spot and did not move. It vanished for a few seconds and seemed to change shape.,12/22/22,
226,10/19/22 19:00,Mulga,AL,USA,Changing,All week. 2-3 hours.,I have seen several that have appeared many nights in a row.,12/22/22,
227,10/19/22 18:30,Tucson,AZ,USA,Triangle,45 seconds,Triangle Formation of 3 lights,12/22/22,
228,10/18/22 22:45,Rosenberg,TX,USA,Delta,Approx 25 minutes,A whitish Boomarang with a shimmering cloak,12/22/22,
229,10/18/22 20:50,Waxhaw,NC,USA,Circle,40 seconds,I sit on my Front Porch every evening..,12/22/22,
230,10/18/22 20:35,Shoreline,,,Circle,5 hours minimum,Mother Ship takes same route over neighborhood nightly since 8/22/2022,12/22/22,
231,10/18/22 20:15,Chocowinity,NC,USA,Light,25 Minutes,Saw a big bright light that was zigzagging all over the place that ended up splitting into two and combining back into one.,12/22/22,
232,10/18/22 20:00,Jacksonville,FL,USA,Chevron,15 seconds,5 blacked out aircraft in perfect formation flying north to south at approximately 500 feet at a speed of around 150 - 175 kts,12/22/22,
233,10/18/22 19:51,SAVANNAH,GA,USA,Triangle,2.00 minutes,I seen a tranlge ship moving about 20 miles per hour...,12/22/22,
234,10/18/22 18:00,Hampden,MA,USA,Cigar,2 minutes,"Clear day, no engine sounds, did not have characteristics of a plane in the sunlight.",12/22/22,
235,10/18/22 15:30,London,London Borough of Wandsworth,United Kingdom,Circle,Few minutes,very bright light coming and going and shifting shape,12/22/22,Yes
236,10/18/22 12:53,Sheboygan,WI,USA,Triangle,Very brief,Accidentally photographed a UFO when I was taking pictures of the waves,12/22/22,Yes
237,10/18/22 12:30,Gadsden,AL,USA,Unknown,Less than 25 seconds,"A visual distortion of objects in night sky buy ""cloaked"" object",12/22/22,
238,10/18/22 07:25,Rancho Palos Verdes,CA,USA,Circle,5 minutes,"Line of 10 black, round objects (each approximately the size of a car) ascending quickly from the ocean to the clouds",12/22/22,Yes
239,10/18/22 05:14,Hayden,ID,USA,Circle,Less than 5 minutes,"Saw three bright lights hovering over an open field. Thought they were aircraft at first, but didn't move. Eventually faded/disappeared",12/22/22,Yes
240,10/18/22 01:47,Zuni,NM,USA,Other,4 minutes,"Seen a unknown object changing shapes and colors. When inspecting the photos, we noticed several objects changing colors and shapes.",12/22/22,Yes
241,10/17/22 22:48,Saint James,MO,USA,Unknown,5 min,"3 craft flying pallalel, no sound,",12/22/22,
242,10/17/22 22:30,Welwyn garden coty,Hertfordshire,United Kingdom,Light,It’s still there,"Looked like a star drop then fly across the sky and now it’s just sitting there, looks like a star but it’s too close and too muchlight",12/22/22,
243,10/17/22 21:58,Seattle,WA,USA,Circle,About 5 minutes,This is the second time I’ve seen this bright orange dot in the sky..  ((NUFORC Note:  Lens flars.  PD)),12/22/22,Yes
244,10/17/22 20:45,Sebring,FL,USA,Circle,30 seconds,3 bright white/yellow orbs in triangular shape appeared then dissappeared . i saw 5 us aircrafts chasing after it then it dissapeared,12/22/22,
245,10/17/22 20:30,clearwater,FL,USA,Rectangle,10 minutes,"Bright Multi color lights Huge and Hovering, moving slow, then darted to south quickly out of view",12/22/22,Yes
246,10/17/22 19:39,STOKE-ON-TRENT,Staffordshire,United Kingdom,Changing,Around 7,The other night me and other cadets heard a humming sound we didn't know where it was coming from so we looked up in the sky and we dot,12/22/22,
247,10/17/22 19:30,Avondale,AZ,USA,Circle,15 minutes,3 lights slowly moving south,12/22/22,Yes
248,10/17/22 19:10,Tarzana (Los Angeles),CA,USA,Fireball,2 seconds,"A large blue green fireball with a small tail north of Tarzana, CA",12/22/22,
249,10/17/22 19:05,Pace,FL,USA,Unknown,1 minute,"Bright red light, smaller white light at rear, Niether light blinking. no sound",12/22/22,
250,10/17/22 16:00,tempe,AZ,USA,Circle,unknown,a big ball of light that shrank and rapidly change direction,12/22/22,
251,10/17/22 15:00,Shawnee,KS,USA,Cone,5 minutes,Object woth vapor trail descending for 5 mins woth 2 jets nearby. Wife & I have pics.,12/22/22,Yes
252,10/17/22 06:30,Leominster,MA,USA,Disk,,Hovering then vanished i,12/22/22,
253,10/17/22 06:15,Georgetown,TX,USA,Light,3 minutes,"A stationary light. Bright like a star, moved and followed an airplane then took off",12/22/22,
254,10/17/22 05:45,Saint Charles,MO,USA,Triangle,3 seconds,I saw a triangle craft pass by me over head with lights shining directly down located on each corner. Triangle shape was clear.,12/22/22,
255,10/17/22 01:11,Boise,ID,USA,Light,Maybe 1 or 2 seconds,What seemed like only a couple hundred feet above my house a bright neon green light the size of a minivan appeared and quickly darted,12/22/22,
256,10/16/22 22:55,Torrance,CA,USA,Fireball,30 seconds,Low hovering fireball,12/22/22,
257,10/16/22 21:40,Ghulewadi Sangamner,Maharashtra,India,Changing,20 Minutes,Me and my friends seen constant light in clouds. We have seen light not lighting. The exact shape of light is not over familiar.,12/22/22,Yes
258,10/16/22 20:20,Boston,MA,USA,Cylinder,Several minutes,I spotted what I thought was a star but it was moving.,12/22/22,Yes
259,10/16/22 19:13,Columbus,OH,USA,Light,,Flying lights,12/22/22,
260,10/16/22 19:11,DOYLESTOWN,PA,USA,Disk,2 minutes,Two people saw this,12/22/22,Yes
261,10/16/22 18:30,Paramus,NJ,USA,Oval,On and off for an hour,Captured video of ZIG ZAGGING blinking stars moving sporadically,12/22/22,Yes
262,10/16/22 17:00,Tempe,AZ,USA,Chevron,,Saw this boomerang shape object stationary high up in the sky.,12/22/22,
263,10/16/22 02:45,,,USA,Circle,"20 seconds ,then it stop",By cutting a tree I heard a plane flying out of Austin's airport but the engine sounded very strained as if it were trying to divert,12/22/22,
264,10/16/22 02:17,Evansville,IN,USA,Light,Maybe 30 seconds?,Loud noise hovering over my home with blinking lights,12/22/22,
265,10/16/22 00:55,Bowie,MD,USA,Circle,30 seconds,"Light from flying object caused doorbell to issue ""Person Detected"" alert",12/22/22,
266,10/15/22 23:33,Beacon,NY,,Changing,Non stop,Object in sky,12/22/22,Yes
267,10/15/22 23:20,Hastings,MI,USA,Disk,40 Seconds,A flying saucer with headlights flying low to the ground.,12/22/22,
268,10/15/22 22:35,Leeds,Leeds,United Kingdom,Sphere,2 hours,"Sphere like UAP, bright in light. Distance unknown",12/22/22,Yes
269,10/15/22 21:52,"Orlando (Specifically, Lockhart), FL",null,,Triangle,2 to 3 and a half minutes,I witnessed a commercial airliner that for a split second appeared as a triangle shaped UAP that then exibited time dilation.,12/22/22,
270,10/15/22 21:50,,FL,USA,Light,Approx. 2 minutes,"2 very bright lights stationery, vertically aligned, just to the right of Jupiter; same size as Jupiter",12/22/22,
271,10/15/22 21:30,Vung Tau,Bà R?a-Vung Tàu,Vietnam,Circle,5 hours,object has been sighted for 3 nights.,12/22/22,Yes
272,10/15/22 21:30,Bellevue,WA,USA,Disk,10-20 seconds,We saw a dark flying object in the night sky.,12/22/22,
273,10/15/22 21:18,Irving,TX,USA,Changing,,I originally thought it was a Satellite but the later I thought maybe it is possibly a UFO,12/22/22,Yes
274,10/15/22 21:15,poteau,OK,USA,Circle,10 seconds,atleast 50 circle flying in the skying a massive group moving how a school of fish would it had a reflective surface,12/22/22,
275,10/15/22 20:35,King,NC,USA,Formation,Only a few seconds.,I pulled up to the intersection at 8:35pm or so and spotted something in the sky for a few seconds then it disappeared.,12/22/22,Yes
276,10/15/22 20:31,KITTANNING,null,,Changing,Several hours,Objects in the sky,12/22/22,
277,10/15/22 20:29,Chesterland,OH,USA,Unknown,4 minutes,Super bright white flashing bright then dim kinda sparkling- but NOT a planet- not a meteor or aircraft.,12/22/22,
278,10/15/22 19:45,Asheville,NC,USA,Light,Maybe 15 seconds,A sign Gale moving light that would fade out and seem to reappear behind itself or maybe there were multiples.,12/22/22,
279,10/15/22 19:17,East Liverpool,OH,USA,Circle,about 3 minutes,"Did not appear to be satellites or lanterns, I've seen those before, never seen anything like these before",12/22/22,Yes
280,10/15/22 19:00,San Jose,CA,USA,Star,Over the course of 30 min,"Witnessed ""satellite"" move and then stop in place. Saw two more ""satellites"" minutes later moving near it.",12/22/22,
281,10/15/22 18:40,San Bernadino,CA,USA,Circle,2 minutes,There was like 20 of them but they were moving quick.,12/22/22,
282,10/15/22 18:24,Edisto Island,SC,USA,Light,,Taking photographs on beach light was present in some photos but not all  ((NUFORC Note:  Lens flare.  PD)),12/22/22,Yes
