,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
288,9/15/22 21:00,Mount Pleasant,TX,USA,Circle,About 2-3 minutes total,First dot making triangular patterns. The next two criss crossed straight lines. The final one flew west in a straight line,10/8/22,
289,9/15/22 20:58,Mayville,WI,USA,Other,3 seconds,Saw a faint red lit dark object move very fast in a non linear manner and disappear rapidly all within 3 seconds or so.,10/8/22,
290,9/15/22 20:04,Amherst,MA,USA,Light,,2 of them were extremely bright white lights with halos they were approximately a mile up and moving about 300-400 mph.,10/8/22,
291,9/15/22 20:00,Kiawah Island,SC,USA,Circle,Hour or more,Noticed a reddish circular object in the sky that appeared at to be moving and then seemed to hover.,10/8/22,Yes
292,9/15/22 19:06,Gharbia in the nile delta,Gharbia Governorate,Egypt,Fireball,4 minutes,Bright light object same speed as iss,10/8/22,
293,9/15/22 17:15,Morris Plains,NJ,USA,Circle,15,Filmed a craft that disappeared and reappeared,10/8/22,Yes
294,9/15/22 15:00,Loranger,LA,USA,Cigar,20 seconds,"Clear sunny day , Flying Southwest over Hammond Airport on Louisiana",12/22/22,
295,9/15/22 13:05,Thornton,CO,USA,Circle,4-5 seconds,I witnessed a group of 6 or 7 golden objects move across the sky & as I tracked them they came together as one and disappeared.,10/8/22,
296,9/15/22 13:00,Hwy 71 between maryville - saint joeseph,MO,USA,Triangle,,Weird big black triangle hovering craft,12/22/22,
297,9/15/22 10:10,Luttrell-manerdville,TN,USA,Cylinder,Slow speed apx 10min,"It was slow moving, top and bottom flashing white lights",10/8/22,
298,9/15/22 09:30,Apopka,FL,USA,Other,5 - 10 minutes,"I have photos. Also, there was a rocket launching immediately after the sighting, but there were no scheduled rocket launches, today.",10/8/22,Yes
299,9/15/22 04:50,Milan,MI,USA,Triangle,10 seconds,Flew right over the road,10/8/22,
300,9/15/22 03:14,Mansfield,MA,USA,Light,Every night,UFOS OVER MY HOUSE EVERY NIGHT. GOVERNMENT DRONES CIRCLING,10/8/22,
301,9/15/22 00:01,South Dennis,MA,USA,Other,1 minute,2 sets of blinking red lights pass very close to eachother,10/8/22,
302,9/14/22 21:30,Ellabell,GA,USA,Changing,ongoing,Third time we gave witnessed these UAPs,10/8/22,
303,9/14/22 21:30,Berwyn,PA,USA,Cylinder,seconds,"Long line of white light moving quickly and grew a large circle on the front end then poof, disappeared.",10/8/22,
304,9/14/22 21:30,Furteventura - Costa Calma beach,,Spain,Light,10 minutes,We saw a green flashing orb like light moving at rapid spees,10/8/22,Yes
305,9/14/22 20:11,Mt Charleston,NV,USA,Light,30 seconds,"Brighter than any star, moving what looked like faster than any aircraft",10/8/22,
306,9/14/22 20:09,Chico,CA,USA,Sphere,5 mins,I looked up to see a blue orb/sphere traveling slowly in the sky it was shooting other orbs out of it and even moved closer,12/22/22,
307,9/14/22 20:00,Gulf Shores,AL,USA,Light,Over a span of 20 minutes,"lights splitting, dividing, and then disappearing.",10/8/22,
308,9/14/22 19:30,Baldwin,FL,USA,Light,An hour or 2?,bright orb of light then big aircraft followed. Then I seen what looked like to be a rocket launch. Then the orb&aircraft chased,10/8/22,
309,9/14/22 18:25,Lake Tapps WA 98391,,USA,Sphere,2 minutes,"orbs spinning and colliding into each other, shooting out tinier white orbs.",10/8/22,Yes
310,9/14/22 14:00,Barrow-in-Furness,Cumbria,United Kingdom,Oval,Not known,Walking back from Walney Island nature reserve i noticed a flash above the B.A.E.building which was too distant to see objects,12/22/22,
311,9/14/22 09:20,Duluth,GA,USA,Other,1 hour,Saw it come off the moon or appeared to and watched it slowly move a ross the sky left of the moon then it just stayed put hovering,10/8/22,Yes
312,9/14/22 07:08,Corydon,IN,USA,Triangle,45 minutes to an hour,We were rounding a 90% turn on a small country road and they were waiting as we came out of the sharp turn,10/8/22,
313,9/14/22 06:00,Tamarac,FL,USA,Light,5 m,Walking my dog in the morning,10/8/22,
314,9/14/22 00:01,Urjala,,Finland,Unknown,My life,Rape,10/8/22,
315,9/13/22 23:32,Largo,FL,USA,Triangle,10-15 seconds,Black triangle craft with 3 dull white lights at each point,10/8/22,
316,9/13/22 22:00,Pawley's Island,SC,USA,Light,10 seconds,Group sees an ornage light eject multiple other lights,10/8/22,Yes
317,9/13/22 21:32,Duluth,MN,USA,Rectangle,Maybe in 5 min,Bright orange light in the sky is wat caught my attention,10/8/22,Yes
318,9/13/22 21:30,Myakka City,FL,USA,Light,5 minutes,As it moved over very slowly it had a weird forward movement.,10/8/22,
319,9/13/22 21:17,Aiken,SC,USA,Light,15 minutes that I saw,"Changed colors, moved erratically",10/8/22,
320,9/13/22 21:10,Chester Springs,PA,USA,Diamond,10 minutes,A very bright light moving very erratic,10/8/22,
321,9/13/22 21:05,Manchester,Lancashire,United Kingdom,Star,3-4 minutes,Fast to slow moving,10/8/22,
322,9/13/22 20:55,Walnut Creek,CA,USA,Triangle,17 seconds,Black triangle hovering silently approximately 100 ft above ground,12/22/22,
323,9/13/22 20:43,Dover,DE,USA,Light,4-5 minutes,Ball of light,10/8/22,
324,9/13/22 20:10,Mesa,AZ,USA,Light,10 min,Stationary Flashing Bright Green Light,10/8/22,Yes
325,9/13/22 20:05,Paulsboro,NJ,USA,Disk,2 minutes,A craft that turns invisible,10/8/22,
326,9/13/22 19:57,Farmington,MO,USA,Fireball,2 Minutes,As I watched if go past the field across the street I shined a light at it and the ufo’s light dimes and vanished,10/8/22,
