,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
297,11/2/22 23:23,Norman,OK,USA,Light,5 minutes,"Extremely fast moving blinking white light with whitish trail behind, not a plane, falling star or satellite.",12/22/22,
298,11/2/22 21:43,Columbus,OH,USA,Light,6 seconds,Odd S shaped flight pattern at high speed,12/22/22,
299,11/2/22 20:30,Everett,WA,USA,Changing,1 sec -3 mins,"Basically more than one sentence needed to explain, I will do my best to summarize below.",12/22/22,Yes
300,11/2/22 19:23,Lititz,PA,USA,Light,10min,"Bright light sat in the sky, moved, sat & took off",12/22/22,
301,11/2/22 19:15,Germantown,NY,USA,Triangle,Approximately one hour,"18 people on a local Facebook Group reported a triangular shape object in the sky that some say hovered, 18 people in total posted",12/22/22,
302,11/2/22 19:00,North east,MD,USA,Fireball,About 5 seconds,Streak of light,12/22/22,
303,11/2/22 18:41,lebanon,CT,USA,Triangle,SEVERAL HOURS,triangle shaped white and red unit in sky hovering for hours. last night and tonight,12/22/22,
304,11/2/22 17:28,South Portland,ME,USA,Other,41 minute,Two portal looking objects opened in sky 3 craft traveled between them,12/22/22,Yes
305,11/2/22 17:15,South Portland,ME,USA,Other,3 minutes,Two portals? Craft flying between them,12/22/22,
306,11/2/22 01:30,Douglas/Bill,WY,USA,Light,1 second,1 second of bright green light 50 mile radius minimum,12/22/22,
307,11/2/22 00:20,New York,NY,USA,Unknown,2 seconds,A UFO shot through the sky a short distance and made a loud sound & omitted a flash & disappeared,12/22/22,
308,11/1/22 23:45,Bellingham,WA,USA,Circle,Less than a minute,"Saw a tight, open bowl shaped formation of small round dots of light move quickly across the sky.",12/22/22,Yes
309,11/1/22 23:26,Wesley Chapel,FL,USA,Light,2-3 seconds,Bright light traveling hyper speed.,12/22/22,
310,11/1/22 22:49,FRANKLIN,CT,USA,Triangle,SEVERAL HOURS,"WHAT IS THE RED AND WHITE LIGHT HOVERING OVER FRANKLIN, CT ON 11/1/2022 9PM TO 11:35",12/22/22,
311,11/1/22 22:45,Sunrise,FL,USA,Light,Seconds,High speed light in the sky,12/22/22,
312,11/1/22 22:30,Wasaga Beach,ON,Canada,Unknown,5 minutes,Pictures of weird flying object,12/22/22,Yes
313,11/1/22 22:00,Panama city,FL,USA,Circle,Nightly for 4 or 5 hours,"Is visible below the clouds bright white moves , sometimes wobbles across the sky.. approximately 2 to 3 k feet",12/22/22,
314,11/1/22 21:47,Inverness,FL,USA,Oval,30 minutes,"Bright irregular, fast, moving light at great altitude.",12/22/22,Yes
315,11/1/22 21:28,Holladay,UT,USA,Cone,2 seconds,I saw 2 lights appear in the sky that moved to that moved into a cloud and then the lights disappeared,12/22/22,
316,11/1/22 21:11,Byesville,OH,USA,Circle,All night,They are everywhere flying above tree tops. Very scared send help,12/22/22,
317,11/1/22 20:15,Adelanto,CA,USA,Light,4-5 minutes,We were just looking at the start and then...,12/22/22,
318,11/1/22 20:05,Bow,WA,USA,Sphere,Three seconds,A solid light with an orange tint appeared from above us moving at an abnormally fast speed bending direction.,12/22/22,
319,11/1/22 19:23,Hellam,PA,USA,Light,Roughly 2 minutes,Linear lights in the sky that don’t appear to be starlink satellites.,12/22/22,Yes
320,11/1/22 19:10,daleville,IN,USA,Unknown,2 minutes,Erratically strobed by unknown aerial vehicle,12/22/22,
321,11/1/22 17:18,San Antonio,TX,USA,Unknown,30 seconds,White object,12/22/22,
322,11/1/22 05:18,Mount Vernon,WA,USA,Circle,On going,"Caught 2 lights a first then many more appeared, 2 white, 2 red, and one in another area that had 2 close by",12/22/22,
